,name,multiverse_id,color_identity,text,flavor,power
27,High Ground,132145.0,['W'],Each creature you control can block an additional creature each combat.,"In war, as in society, position is everything.",
28,Holy Day,129593.0,['W'],Prevent all combat damage that would be dealt this turn.,"""Today there is feasting and peace across our land, but the war has not ended. Tuck away your bloodlust. You'll need it tomorrow.""
—Karrim, Samite healer",
30,Holy Strength,,['W'],"Enchant creature
Enchanted creature gets +1/+2.","""May angels fly at your back. May your blade cleave the darkness.""
—War blessing of Serra",
31,Honor Guard,129595.0,['W'],{W}: Honor Guard gets +0/+1 until end of turn.,The strength of one. The courage of ten.,1
32,Icatian Priest,132123.0,['W'],{1}{W}{W}: Target creature gets +1/+1 until end of turn.,"Grelden knelt and felt the cool, dry hand of the priest on his brow. Hours later, when his wits returned, he was covered in his enemies' blood on the field of victory.",1
33,Kjeldoran Royal Guard,130551.0,['W'],{T}: All combat damage that would be dealt to you by unblocked creatures this turn is dealt to Kjeldoran Royal Guard instead.,"Upon the frozen tundra stand the Kjeldoran Royal Guard, pikes raised, with the king's oath upon their lips.",2
34,Loxodon Mystic,129638.0,['W'],"{W}, {T}: Tap target creature.",Elder mystics take their vow of silence so seriously that they impose it on any who enter their presence.,3
35,Loyal Sentry,129798.0,['W'],"When Loyal Sentry blocks a creature, destroy that creature and Loyal Sentry.","""My cause is simple: To stop you, at any cost, from ever seeing the inside of this keep.""",1
36,Luminesce,129912.0,['W'],Prevent all damage that black sources and red sources would deal this turn.,"""The White Shield is not the burnished metal you lash to your forearm but the conviction that burns in your chest.""
—Lucilde Fiksdotter, leader of the Order of the White Shield",
37,Mobilization,129716.0,['W'],"Soldier creatures have vigilance.
{2}{W}: Create a 1/1 white Soldier creature token.","Wars are won with strength, valor, and numbers—especially numbers.",
39,Nomad Mythmaker,130547.0,['W'],"{W}, {T}: Put target Aura card from a graveyard onto the battlefield under your control attached to a creature you control.","On the wild steppes, history vanishes in the dust. Only the mythmakers remain to say what was, and is, and will be.",2
41,Pacifism,129667.0,['W'],"Enchant creature
Enchanted creature can't attack or block.","For the first time in his life, Grakk felt a little warm and fuzzy inside.",
44,Paladin en-Vec,,['W'],"First strike, protection from black and from red (This creature deals combat damage before creatures without first strike. It can't be blocked, targeted, dealt damage, or enchanted by anything black or red.)","""I do not consider myself a hero. I know only what the Vec teach: justice must always be served and corruption must always be opposed.""",2
46,Pariah,,['W'],"Enchant creature
All damage that would be dealt to you is dealt to enchanted creature instead.","""Why would I consider penance for my actions when I have so many subjects willing to do it for me?""
—Lord Konda",
47,Reviving Dose,132089.0,['W'],"You gain 3 life.
Draw a card.",Samite healers never mix their pungent elixir with sweetener or tea. The threat of a second dose is enough to get most warriors back on their feet.,
48,Reya Dawnbringer,106384.0,['W'],"Flying
At the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield.","""You have not died until I consent.""",4
50,Righteousness,130552.0,['W'],Target blocking creature gets +7/+7 until end of turn.,Sometimes the greatest strength is the strength of conviction.,
51,Rule of Law,136291.0,['W'],Each player can't cast more than one spell each turn.,"Appointed by the kha himself, members of the tribunal ensure all disputes are settled with the utmost fairness.",
52,Samite Healer,132101.0,['W'],{T}: Prevent the next 1 damage that would be dealt to any target this turn.,Healers ultimately acquire the divine gifts of spiritual and physical wholeness. The most devout are also granted the ability to pass physical wholeness on to others.,1
53,Serra Angel,129726.0,['W'],"Flying, vigilance",Her sword sings more beautifully than any choir.,4
56,Serra's Embrace,,['W'],"Enchant creature
Enchanted creature gets +2/+2 and has flying and vigilance.",The touch of Serra's angels bears hopes aloft and empowers noble causes.,
57,Skyhunter Patrol,129735.0,['W'],"Flying, first strike (This creature can't be blocked except by creatures with flying or reach, and it deals combat damage before creatures without first strike.)","""We leonin have come to rule the plains by taking to the skies.""
—Raksha Golden Cub",2
59,Skyhunter Prowler,132102.0,['W'],"Flying, vigilance (This creature can't be blocked except by creatures with flying or reach, and attacking doesn't cause this creature to tap.)","As tireless as her mount, a skyhunter's vigil is measured in days.",1
62,Skyhunter Skirmisher,,['W'],"Flying, double strike","""Take the deadly grace and strength of the leonin, combined with a pteron mount capable of rending a foe in two and armed with notched steel. That is a skyhunter—and why Taj-Nar has never fallen.""
—Raksha Golden Cub",1
63,Soul Warden,129740.0,['W'],"Whenever another creature enters the battlefield, you gain 1 life.","Count carefully the souls and see that none are lost.
—Vec teaching",1
65,Spirit Link,,['W'],"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Whenever enchanted creature deals damage, you gain that much life.","""We are all inextricably linked, souls woven in tapestry.""",
66,Spirit Weaver,130999.0,['W'],{2}: Target green or blue creature gets +0/+1 until end of turn.,"""Let my hope be your shield.""",2
67,Starlight Invoker,130385.0,['W'],{7}{W}: You gain 5 life.,"""The constellations form a tapestry of light that traces my people's broken history. Day and night, I feel their glittering presence calling me to weave the pattern whole.""",1
68,Steadfast Guard,132111.0,['W'],Vigilance (Attacking doesn't cause this creature to tap.),"""Best leave your tongue in its yap-hole, Mercadian scum, for your silvered words and golden bribes do not sparkle so brightly outside your city.""",2
71,Suntail Hawk,129753.0,['W'],Flying,"Its eye the glaring sun, its cry the keening wind.",1
73,Tempest of Light,132131.0,['W'],Destroy all enchantments.,"""Let everything return to its true nature, so that destiny may takes its course.""",
74,Treasure Hunter,135232.0,['W'],"When Treasure Hunter enters the battlefield, you may return target artifact card from your graveyard to your hand.","""The treasures of the ancients belong in museums, not in the grubby hands of grave robbers.""",2
75,True Believer,129610.0,['W'],You have shroud. (You can't be the target of spells or abilities.),So great is his certainty that mere facts cannot shake it.,2
77,Tundra Wolves,129604.0,['W'],First strike (This creature deals combat damage before creatures without first strike.),"""I heard their eerie howling, the wolves calling their kindred across the frozen plains.""
—Onean scout",1
79,Venerable Monk,129786.0,['W'],"When Venerable Monk enters the battlefield, you gain 2 life.",Age wears the flesh but galvanizes the soul.,2
82,Wall of Swords,132120.0,['W'],"Defender (This creature can't attack.)
Flying",The air hummed with the scissoring sound of uncounted blades that hovered in front of the invaders as though wielded by a phalanx of unseen hands.,3
84,Warrior's Honor,129797.0,['W'],Creatures you control get +1/+1 until end of turn.,"""The day will come when the righteous warrior faces a battle she cannot win. She will greet that day as she has any other.""
—Asmira, holy avenger",
85,Wild Griffin,129557.0,['W'],Flying,"""I abandoned my dream of a squadron of griffin-riders when the cost proved too high. Three trainers were eaten for every griffin broken to the bridle.""
—King Darien of Kjeldor",2
87,Windborn Muse,130549.0,['W'],"Flying
Creatures can't attack you unless their controller pays {2} for each creature they control that's attacking you.","""Her voice is justice, clear and relentless.""
—Akroma, angelic avenger",2
90,Youthful Knight,129790.0,['W'],First strike,Idealism fits him better than his armor.,2
92,Academy Researchers,132072.0,['U'],"When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.",They brandish their latest theories as warriors would wield weapons.,2
93,Air Elemental,129459.0,['U'],Flying,"""The East Wind, an interloper in the dominions of Westerly Weather, is an impassive-faced tyrant with a sharp poniard held behind his back for a treacherous stab.""
—Joseph Conrad, *The Mirror of the Sea*",4
95,Ambassador Laquatus,129913.0,['U'],{3}: Target player mills three cards.,"""Life is a game. The only thing that matters is whether you're a pawn or a player.""",1
96,Arcanis the Omnipotent,106426.0,['U'],"{T}: Draw three cards.
{2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.","""Do not concern yourself with my origin, my race, or my ancestry. Seek my record in the pits, and then make your wager.""",3
97,Aura Graft,130976.0,['U'],Gain control of target Aura that's attached to a permanent. Attach it to another permanent it can enchant.,"""It's not really stealing. It's more like extended borrowing.""",
98,Aven Fisher,130985.0,['U'],"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aven Fisher dies, you may draw a card.",The same spears that catch their food today will defend their homes tomorrow.,2
100,Aven Windreader,129473.0,['U'],"Flying (This creature can't be blocked except by creatures with flying or reach.)
{1}{U}: Target player reveals the top card of their library.","""The tiniest ripple tells a story ten fathoms deep.""",3
102,Boomerang,129494.0,['U'],Return target permanent to its owner's hand.,Early Jamuraan hunters devised a weapon that would return to its source. Tolarian Aethermancers developed a spell that skipped the weapon entirely.,
104,Cephalid Constable,135261.0,['U'],"Whenever Cephalid Constable deals combat damage to a player, return up to that many target permanents that player controls to their owner's hand.",Cephalids don't police people. They police loyalties.,1
106,Cloud Elemental,129804.0,['U'],"Flying
Cloud Elemental can block only creatures with flying.",The soratami surround their sky-castles with living clouds that serve as both sword and shield.,2
108,Cloud Sprite,132069.0,['U'],"Flying (This creature can't be blocked except by creatures with flying or reach.)
Cloud Sprite can block only creatures with flying.","The delicate sprites carry messages for Saprazzans, but they refuse to land in Mercadia City's filthy markets.",1
110,Counsel of the Soratami,134757.0,['U'],Draw two cards.,"""Wisdom is not the counting of all the drops in a waterfall. Wisdom is learning why the water seeks the earth.""",
111,Crafty Pathmage,134758.0,['U'],{T}: Target creature with power 2 or less can't be blocked this turn.,"Follow the pathmage
—Otarian expression meaning ""escape quickly""",1
113,Dehydration,,['U'],"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature doesn't untap during its controller's untap step.",The viashino used the spell to dry foods for crossing the Great Desert. The Suq'Ata later discovered its use in war.,
114,Deluge,135223.0,['U'],Tap all creatures without flying.,"""From the sea came all life, and to the sea it will return. The sooner the better.""
—Emperor Aboshan",
115,Denizen of the Deep,135250.0,['U'],"When Denizen of the Deep enters the battlefield, return each other creature you control to its owner's hand.","According to merfolk legend, a denizen of the deep swallows the horizon at the end of each day, bringing on the cold blanket of night.",11
116,Discombobulate,134749.0,['U'],"Counter target spell. Look at the top four cards of your library, then put them back in any order.","""I said 'pick his brain,' not 'tear off his head.'""
—Riptide Project researcher",
117,Dreamborn Muse,135246.0,['U'],"At the beginning of each player's upkeep, that player mills X cards, where X is the number of cards in their hand.","""Her voice is insight, piercing and true.""
—Ixidor, reality sculptor",2
118,Evacuation,129541.0,['U'],Return all creatures to their owners' hands.,"""Once I supply the breeze, you'll see your warriors for the smoke they truly are.""
—Alexi, zephyr mage",
119,Flashfreeze,129908.0,['U'],Counter target red or green spell.,"""Nature? Fire? Bah! Both are chaotic and difficult to control. Ice is structured, latticed, light as a feather, massive as a glacier. In ice, there is power!""
—Heidar, Rimewind master",
120,Fog Elemental,132073.0,['U'],"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Fog Elemental attacks or blocks, sacrifice it at end of combat.","""It's the perfect sentry. Those who should pass can go right through it.""
—Teferi",4
122,Fugitive Wizard,134762.0,['U'],,"""The law has its place—as a footnote in my spellbook.""
—Siyani, fugitive mage",1
123,Horseshoe Crab,129596.0,['U'],{U}: Untap Horseshoe Crab.,"""Hmm . . . It looks kinda like a bug. Let's crack it open an' see if it tastes like one!""
—Squee, goblin cabin hand",1
124,Hurkyl's Recall,135260.0,['U'],Return all artifacts target player owns to their hand.,"Hurkyl's research at the College of Lat-Nam wasn't enough to stop the two brothers, but for centuries thereafter her spellcraft taught artificers restraint.",
125,Lumengrid Warden,129631.0,['U'],,The wardens keep watch over an endless sea of progress.,1
126,Mahamoti Djinn,129633.0,['U'],Flying (This creature can't be blocked except by creatures with flying or reach.),"Of royal blood among the spirits of the air, the Mahamoti djinn rides on the wings of the winds. As dangerous in the gambling hall as he is in battle, he is a master of trickery and misdirection.",5
130,Merfolk Looter,130900.0,['U'],"{T}: Draw a card, then discard a card.","It belongs to the merfolk now.
—Shipwreck prayer",1
132,Mind Bend,,['U'],"Change the text of target permanent by replacing all instances of one color word with another or one basic land type with another. (For example, you may change ""nonblack creature"" to ""nongreen creature"" or ""forestwalk"" to ""islandwalk."" This effect lasts indefinitely.)","""The world, I've come to realize, is a blank canvas on which to paint.""
—Ixidor, reality sculptor",
133,Peek,130903.0,['U'],"Look at target player's hand.
Draw a card.",Sometimes you have to read between the minds.,
134,Persuasion,129900.0,['U'],"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
You control enchanted creature.",There's no telling what an accomplished mage might collect.,
136,Phantom Warrior,132064.0,['U'],Phantom Warrior can't be blocked.,"""There are as many pillows of illusion as flakes in a snow-storm. We wake from one dream into another dream.""
—Ralph Waldo Emerson, ""Illusions""",2
137,Plagiarize,129883.0,['U'],"Until end of turn, if target player would draw a card, instead that player skips that draw and you draw a card.","""Are you thinking what I'm thinking?""",
138,Puppeteer,129685.0,['U'],"{U}, {T}: You may tap or untap target creature.","""That's the funny thing about free will. You don't feel any different without it.""
—Ambassador Laquatus",1
139,Reminisce,129698.0,['U'],Target player shuffles their graveyard into their library.,Leave the door to the past even slightly ajar and it could be blown off its hinges.,
140,Remove Soul,129699.0,['U'],Counter target creature spell.,"When your enemies are denied soldiers, they are denied victory.",
142,Robe of Mirrors,,['U'],"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature has shroud. (It can't be the target of spells or abilities.)","""Some say you cannot hit what you cannot see. I prefer that you hit what I want you to see.""
—Arcanis the Omnipotent",
143,Rootwater Commando,129733.0,['U'],Islandwalk (This creature can't be blocked as long as defending player controls an Island.),"Rootwater merfolk are seldom seen these days, but elf corpses are as numerous as ever.",2
145,Rootwater Matriarch,135252.0,['U'],{T}: Gain control of target creature for as long as that creature is enchanted.,"In the harsh depths of Rootwater, the charms of surface dwellers are quite useless . . . except as lures.",2
150,Sea Monster,129719.0,['U'],Sea Monster can't attack unless defending player controls an Island.,It's easy to believe the monster is a myth—until you feel three hundred thousand pounds of myth crashing down on your ship.,6
152,Shimmering Wings,,['U'],"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature has flying. (It can't be blocked except by creatures with flying or reach.)
{U}: Return Shimmering Wings to its owner's hand.","""I leave words like 'impossible' to the rabble. Whatever I can imagine, I can create.""
—Ixidor, reality sculptor",
153,Sift,136217.0,['U'],"Draw three cards, then discard a card.",Dwell longest on the thoughts that shine brightest.,
154,Sky Weaver,130998.0,['U'],{2}: Target white or black creature gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),"""Let my wisdom give you wings.""",2
156,Snapping Drake,129471.0,['U'],Flying (This creature can't be blocked except by creatures with flying or reach.),The irritable drakes are solitary nesters. Even brooding females barely contain the urge to attack their own young.,3
158,Spiketail Hatchling,129901.0,['U'],"Flying (This creature can't be blocked except by creatures with flying or reach.)
Sacrifice Spiketail Hatchling: Counter target spell unless its controller pays {1}.",It dodges waves of water to prepare for waves of magic.,1
160,Sunken Hope,129509.0,['U'],"At the beginning of each player's upkeep, that player returns a creature they control to its owner's hand.","""I don't concern myself with my enemy's hopes. Hopes follow the tides. They will retreat soon enough.""
—Ambassador Laquatus",
161,Telepathy,129761.0,['U'],Your opponents play with their hands revealed.,"""The question isn't whether I can read minds. It's whether I have yet to find a mind worth reading.""
—Ambassador Laquatus",
162,Telling Time,132071.0,['U'],"Look at the top three cards of your library. Put one of those cards into your hand, one on top of your library, and one on the bottom of your library.","Mastery is achieved when ""telling time"" becomes ""telling time what to do.""",
163,Thieving Magpie,129764.0,['U'],"Flying (This creature can't be blocked except by creatures with flying or reach.)
Whenever Thieving Magpie deals damage to an opponent, draw a card.",Other birds collect twigs for their nests. Magpies collect jewels for theirs.,1
165,Tidings,129770.0,['U'],Draw four cards.,"""Though the letter was many pages long, I could tell all I needed to know from one look at the messenger's face.""
—Barrin, master wizard",
168,Time Stretch,129677.0,['U'],Target player takes two extra turns after this one.,There's lots of time like the present.,
169,Traumatize,129774.0,['U'],"Target player mills half their library, rounded down.","""The educated mind is heavy with lore and knowledge. It's also the most likely to collapse under its own weight.""
—Ambassador Laquatus",
170,Twincast,129887.0,['U'],Copy target instant or sorcery spell. You may choose new targets for the copy.,Imitation is the most dangerous form of flattery.,
171,Twitch,136286.0,['U'],"You may tap or untap target artifact, creature, or land.
Draw a card.",Battles are won in nuance.,
172,Unsummon,136218.0,['U'],Return target creature to its owner's hand.,Tolarian apprentices learn to liberate Ætheric energy long before they are taught to bind it.,
173,Vedalken Mastermind,130834.0,['U'],"{U}, {T}: Return target permanent you control to its owner's hand.","The vedalken see other beings from a cold distance, as either experimental subjects or objects of study.",1
174,Wall of Air,135274.0,['U'],"Defender, flying (This creature can't attack, and it can block creatures with flying.)","When no falcons fly, beware the sky.
—Femeref aphorism",1
176,Afflict,135206.0,['B'],"Target creature gets -1/-1 until end of turn.
Draw a card.","One rarely notices a heartbeat, save when it is stolen.",
177,Agonizing Memories,135228.0,['B'],Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.,"In the aftermath of war, when the slaying is long done, the greatest miseries come home to roost.",
178,Ascendant Evincar,106525.0,['B'],"Flying (This creature can't be blocked except by creatures with flying or reach.)
Other black creatures get +1/+1.
Nonblack creatures get -1/-1.","His soul snared by an angel's curse, Crovax twisted heroism into its purest shadow.",3
180,Assassinate,135194.0,['B'],Destroy target tapped creature.,"""This is how wars are won—not with armies of soldiers but with a single knife blade, artfully placed.""
—Yurin, royal assassin",
181,Beacon of Unrest,135270.0,['B'],Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.,A vertical scream pierces the night air and echoes doom through the clouds.,
182,Bog Wraith,129491.0,['B'],Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),"Knowing Takenuma Swamp to be dangerous, Hisata set wards to warn him of predators. He never imagined that his murderer would pass through them unhindered.",3
184,Consume Spirit,129505.0,['B'],"Spend only black mana on X.
Consume Spirit deals X damage to any target and you gain X life.","""Your blood, your marrow, your spirit—all are mine.""
—Mayvar, minion of Geth",
186,Contaminated Bond,,['B'],"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Whenever enchanted creature attacks or blocks, its controller loses 3 life.","""My favorite curses are those that manifest slowly, blackening the soul in ways the victim cannot hope to understand.""
—Erissa, bog witch",
187,Cruel Edict,129514.0,['B'],Target opponent sacrifices a creature.,"""Choose your next words carefully. They will be your last.""
—Phage the Untouchable",
188,Deathmark,129910.0,['B'],Destroy target green or white creature.,"""I hope it's true that every snowflake is unique, because I never want to see one like this again. Now clean up that body.""
—Thangbrand Gyrdsson, Kjeldoran patrol",
189,Diabolic Tutor,129525.0,['B'],"Search your library for a card, put that card into your hand, then shuffle.",The best ideas often come from the worst minds.,
190,Distress,135219.0,['B'],Target player reveals their hand. You choose a nonland card from it. That player discards that card.,"""They say the eyes are the windows to the soul. I like to break windows and take what's inside.""
—Braids, dementia summoner",
191,Doomed Necromancer,129880.0,['B'],"{B}, {T}, Sacrifice Doomed Necromancer: Return target creature card from your graveyard to the battlefield.",Many necromancers share the same last words—the ones that conclude the undeath ritual.,2
192,Dross Crocodile,135216.0,['B'],,"""As soon as it surfaced, we could all smell it. Its rancid breath reeked of half-digested carrion and its own rotting innards.""
—Dafri, Auriok champion",5
193,Drudge Skeletons,129529.0,['B'],"{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)","""The dead make good soldiers. They can't disobey orders, never surrender, and don't stop fighting when a random body part falls off.""
—Nevinyrral, *Necromancer's Handbook*",1
195,Dusk Imp,129490.0,['B'],Flying,Imps are just intelligent enough to have an understanding of cruelty.,2
197,Essence Drain,135191.0,['B'],Essence Drain deals 3 damage to any target and you gain 3 life.,"""The elves are right: Death inevitably leads to life. But the truly powerful don't just experience this cycle. They control it.""
—Crovax, ascendant evincar",
199,Fear,,['B'],"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)","""Even the bravest of warriors yet knows the dark clutch of fright upon his stalwart heart.""
—Lim-Dûl the Necromancer",
200,Festering Goblin,129546.0,['B'],"When Festering Goblin dies, target creature gets -1/-1 until end of turn.","In life, it was a fetid, disease-ridden thing. In death, not much changed.",1
201,Grave Pact,129583.0,['B'],"Whenever a creature you control dies, each other player sacrifices a creature.","""The bonds of loyalty can tie one to the grave.""
—Crovax, ascendant evincar",
202,Graveborn Muse,135256.0,['B'],"At the beginning of your upkeep, you draw X cards and you lose X life, where X is the number of Zombies you control.","""Her voice is damnation, unyielding and certain.""
—Phage the Untouchable",3
203,Gravedigger,129584.0,['B'],"When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.",A full coffin is like a full coffer—both are attractive to thieves.,2
204,Hate Weaver,130995.0,['B'],{2}: Target blue or red creature gets +1/+0 until end of turn.,"""Let my hate fuel your fury.""",2
206,Hidden Horror,135234.0,['B'],"When Hidden Horror enters the battlefield, sacrifice it unless you discard a creature card.","If the presence of evil were obvious, it wouldn't be nearly as dangerous.",4
207,Highway Robber,129564.0,['B'],"When Highway Robber enters the battlefield, target opponent loses 2 life and you gain 2 life.","""Tonight, madam, it's your money *and* your life.""",2
208,Hypnotic Specter,129600.0,['B'],"Flying
Whenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.",Its victims are known by their eyes: shattered vessels leaking broken dreams.,2
210,Knight of Dusk,129574.0,['B'],{B}{B}: Destroy target creature blocking Knight of Dusk.,"""Challenge me with your strongest. I will paint my sword with their blood.""",2
211,Looming Shade,129628.0,['B'],{B}: Looming Shade gets +1/+1 until end of turn.,"Its form never rests, propelled by some undetectable gale from beyond the gloom.",1
214,Lord of the Undead,129629.0,['B'],"Other Zombie creatures get +1/+1.
{1}{B}, {T}: Return target Zombie card from your graveyard to your hand.","""Do not weep at your defeat, my dear. In death, you will serve a greater purpose—mine.""",2
215,Mass of Ghouls,135218.0,['B'],,"""An army has filled the valley, but it's not like any army I've ever seen. There are no tents, no fires, no horses . . . just a sea of bodies, writhing and moaning, as if a pestilent village were sent to invade us.""
—Onean scout",5
216,Megrim,129640.0,['B'],"Whenever an opponent discards a card, Megrim deals 2 damage to that player.","""Pain is both a tool and a craft. Like any tool, it must be sharpened. Like any craft, it must be practiced.""
—Hooks, Cabal torturer",
217,Midnight Ritual,135272.0,['B'],"Exile X target creature cards from your graveyard. For each creature card exiled this way, create a 2/2 black Zombie creature token.","Bury old friends deeply, lest they return bearing worms.",
218,Mind Rot,129645.0,['B'],Target player discards two cards.,"""The beauty of mental attacks is that your victims never remember them.""
—Volrath",
219,Mortal Combat,135259.0,['B'],"At the beginning of your upkeep, if twenty or more creature cards are in your graveyard, you win the game.","The crowd roared, the fighters bled, and the dead piled high in the pits. Only the Cabal could win.",
221,Mortivore,,['B'],"Mortivore's power and toughness are each equal to the number of creature cards in all graveyards.
{B}: Regenerate Mortivore.",The light sigh of its breath whistles through its bones.,*
222,Nantuko Husk,129653.0,['B'],Sacrifice a creature: Nantuko Husk gets +2/+2 until end of turn.,"The soul sheds light, and death is its shadow. When the light dims, life and death embrace.
—Nantuko teaching",2
224,Nekrataal,,['B'],"First strike
When Nekrataal enters the battlefield, destroy target nonartifact, nonblack creature. That creature can't be regenerated.",His victims don't have time to feel despair.,2
225,Nightmare,129659.0,['B'],"Flying (This creature can't be blocked except by creatures with flying or reach.)
Nightmare's power and toughness are each equal to the number of Swamps you control.",The thunder of its hooves beats dreams into despair.,*
227,No Rest for the Wicked,136283.0,['B'],Sacrifice No Rest for the Wicked: Return to your hand all creature cards in your graveyard that were put there from the battlefield this turn.,"""The soul? Here, we have no use for such frivolities.""
—Sitrik, birth priest",
229,Phyrexian Rager,135189.0,['B'],"When Phyrexian Rager enters the battlefield, you draw a card and you lose 1 life.","It takes no prisoners, but it keeps the choicest bits for Phyrexia.",2
230,Plague Beetle,129678.0,['B'],Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),No one knows whether they were named for the disease they carry or for the speed at which they multiply.,1
233,Rain of Tears,135220.0,['B'],Destroy target land.,"""When mortals die, they have family, friends, compatriots to mourn them. When the land dies, all else dies with it, and there is no one left to weep.""
—Jacinth, Skyshroud ranger",
234,Ravenous Rats,129692.0,['B'],"When Ravenous Rats enters the battlefield, target opponent discards a card.",Nothing is sacred to rats. Everything is simply another meal.,1
235,Recover,135188.0,['B'],"Return target creature card from your graveyard to your hand.
Draw a card.","As Barrin exhumed his daughter's body, he finally realized the full price of his faith in Urza.",
237,Royal Assassin,129708.0,['B'],{T}: Destroy target tapped creature.,"Trained in the arts of stealth, royal assassins choose their victims carefully, relying on timing and precision rather than brute force.",1
238,Scathe Zombies,129718.0,['B'],,"""They groaned, they stirred, they all uprose, Nor spake, nor moved their eyes; It had been strange, even in a dream, To have seen those dead men rise.""
—Samuel Taylor Coleridge, ""The Rime of the Ancient Mariner""",2
