,name,multiverse_id,colors,color_identity,supertypes,text,flavor,number,power,toughness,loyalty
71,Suntail Hawk,129753.0,['W'],['W'],,Flying,"Its eye the glaring sun, its cry the keening wind.",50,1,1,
73,Tempest of Light,132131.0,['W'],['W'],,Destroy all enchantments.,"""Let everything return to its true nature, so that destiny may takes its course.""",51,,,
74,Treasure Hunter,135232.0,['W'],['W'],,"When Treasure Hunter enters the battlefield, you may return target artifact card from your graveyard to your hand.","""The treasures of the ancients belong in museums, not in the grubby hands of grave robbers.""",52,2,2,
75,True Believer,129610.0,['W'],['W'],,You have shroud. (You can't be the target of spells or abilities.),So great is his certainty that mere facts cannot shake it.,53,2,2,
77,Tundra Wolves,129604.0,['W'],['W'],,First strike (This creature deals combat damage before creatures without first strike.),"""I heard their eerie howling, the wolves calling their kindred across the frozen plains.""
—Onean scout",54,1,1,
79,Venerable Monk,129786.0,['W'],['W'],,"When Venerable Monk enters the battlefield, you gain 2 life.",Age wears the flesh but galvanizes the soul.,55,2,2,
82,Wall of Swords,132120.0,['W'],['W'],,"Defender (This creature can't attack.)
Flying",The air hummed with the scissoring sound of uncounted blades that hovered in front of the invaders as though wielded by a phalanx of unseen hands.,57,3,5,
84,Warrior's Honor,129797.0,['W'],['W'],,Creatures you control get +1/+1 until end of turn.,"""The day will come when the righteous warrior faces a battle she cannot win. She will greet that day as she has any other.""
—Asmira, holy avenger",58,,,
85,Wild Griffin,129557.0,['W'],['W'],,Flying,"""I abandoned my dream of a squadron of griffin-riders when the cost proved too high. Three trainers were eaten for every griffin broken to the bridle.""
—King Darien of Kjeldor",59,2,2,
87,Windborn Muse,130549.0,['W'],['W'],,"Flying
Creatures can't attack you unless their controller pays {2} for each creature they control that's attacking you.","""Her voice is justice, clear and relentless.""
—Akroma, angelic avenger",60,2,3,
90,Youthful Knight,129790.0,['W'],['W'],,First strike,Idealism fits him better than his armor.,62,2,1,
92,Academy Researchers,132072.0,['U'],['U'],,"When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.",They brandish their latest theories as warriors would wield weapons.,63,2,2,
93,Air Elemental,129459.0,['U'],['U'],,Flying,"""The East Wind, an interloper in the dominions of Westerly Weather, is an impassive-faced tyrant with a sharp poniard held behind his back for a treacherous stab.""
—Joseph Conrad, *The Mirror of the Sea*",64,4,4,
95,Ambassador Laquatus,129913.0,['U'],['U'],['Legendary'],{3}: Target player mills three cards.,"""Life is a game. The only thing that matters is whether you're a pawn or a player.""",65,1,3,
96,Arcanis the Omnipotent,106426.0,['U'],['U'],['Legendary'],"{T}: Draw three cards.
{2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.","""Do not concern yourself with my origin, my race, or my ancestry. Seek my record in the pits, and then make your wager.""",66,3,4,
97,Aura Graft,130976.0,['U'],['U'],,Gain control of target Aura that's attached to a permanent. Attach it to another permanent it can enchant.,"""It's not really stealing. It's more like extended borrowing.""",67,,,
98,Aven Fisher,130985.0,['U'],['U'],,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aven Fisher dies, you may draw a card.",The same spears that catch their food today will defend their homes tomorrow.,68,2,2,
100,Aven Windreader,129473.0,['U'],['U'],,"Flying (This creature can't be blocked except by creatures with flying or reach.)
{1}{U}: Target player reveals the top card of their library.","""The tiniest ripple tells a story ten fathoms deep.""",69,3,3,
102,Boomerang,129494.0,['U'],['U'],,Return target permanent to its owner's hand.,Early Jamuraan hunters devised a weapon that would return to its source. Tolarian Aethermancers developed a spell that skipped the weapon entirely.,70,,,
104,Cephalid Constable,135261.0,['U'],['U'],,"Whenever Cephalid Constable deals combat damage to a player, return up to that many target permanents that player controls to their owner's hand.",Cephalids don't police people. They police loyalties.,72,1,1,
106,Cloud Elemental,129804.0,['U'],['U'],,"Flying
Cloud Elemental can block only creatures with flying.",The soratami surround their sky-castles with living clouds that serve as both sword and shield.,74,2,3,
108,Cloud Sprite,132069.0,['U'],['U'],,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Cloud Sprite can block only creatures with flying.","The delicate sprites carry messages for Saprazzans, but they refuse to land in Mercadia City's filthy markets.",75,1,1,
110,Counsel of the Soratami,134757.0,['U'],['U'],,Draw two cards.,"""Wisdom is not the counting of all the drops in a waterfall. Wisdom is learning why the water seeks the earth.""",76,,,
111,Crafty Pathmage,134758.0,['U'],['U'],,{T}: Target creature with power 2 or less can't be blocked this turn.,"Follow the pathmage
—Otarian expression meaning ""escape quickly""",77,1,1,
113,Dehydration,,['U'],['U'],,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature doesn't untap during its controller's untap step.",The viashino used the spell to dry foods for crossing the Great Desert. The Suq'Ata later discovered its use in war.,78★,,,
114,Deluge,135223.0,['U'],['U'],,Tap all creatures without flying.,"""From the sea came all life, and to the sea it will return. The sooner the better.""
—Emperor Aboshan",79,,,
115,Denizen of the Deep,135250.0,['U'],['U'],,"When Denizen of the Deep enters the battlefield, return each other creature you control to its owner's hand.","According to merfolk legend, a denizen of the deep swallows the horizon at the end of each day, bringing on the cold blanket of night.",80,11,11,
116,Discombobulate,134749.0,['U'],['U'],,"Counter target spell. Look at the top four cards of your library, then put them back in any order.","""I said 'pick his brain,' not 'tear off his head.'""
—Riptide Project researcher",81,,,
117,Dreamborn Muse,135246.0,['U'],['U'],,"At the beginning of each player's upkeep, that player mills X cards, where X is the number of cards in their hand.","""Her voice is insight, piercing and true.""
—Ixidor, reality sculptor",82,2,2,
118,Evacuation,129541.0,['U'],['U'],,Return all creatures to their owners' hands.,"""Once I supply the breeze, you'll see your warriors for the smoke they truly are.""
—Alexi, zephyr mage",83,,,
119,Flashfreeze,129908.0,['U'],['U'],,Counter target red or green spell.,"""Nature? Fire? Bah! Both are chaotic and difficult to control. Ice is structured, latticed, light as a feather, massive as a glacier. In ice, there is power!""
—Heidar, Rimewind master",84,,,
120,Fog Elemental,132073.0,['U'],['U'],,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Fog Elemental attacks or blocks, sacrifice it at end of combat.","""It's the perfect sentry. Those who should pass can go right through it.""
—Teferi",85,4,4,
122,Fugitive Wizard,134762.0,['U'],['U'],,,"""The law has its place—as a footnote in my spellbook.""
—Siyani, fugitive mage",86,1,1,
123,Horseshoe Crab,129596.0,['U'],['U'],,{U}: Untap Horseshoe Crab.,"""Hmm . . . It looks kinda like a bug. Let's crack it open an' see if it tastes like one!""
—Squee, goblin cabin hand",87,1,3,
124,Hurkyl's Recall,135260.0,['U'],['U'],,Return all artifacts target player owns to their hand.,"Hurkyl's research at the College of Lat-Nam wasn't enough to stop the two brothers, but for centuries thereafter her spellcraft taught artificers restraint.",88,,,
125,Lumengrid Warden,129631.0,['U'],['U'],,,The wardens keep watch over an endless sea of progress.,89,1,3,
126,Mahamoti Djinn,129633.0,['U'],['U'],,Flying (This creature can't be blocked except by creatures with flying or reach.),"Of royal blood among the spirits of the air, the Mahamoti djinn rides on the wings of the winds. As dangerous in the gambling hall as he is in battle, he is a master of trickery and misdirection.",90,5,6,
130,Merfolk Looter,130900.0,['U'],['U'],,"{T}: Draw a card, then discard a card.","It belongs to the merfolk now.
—Shipwreck prayer",92,1,1,
132,Mind Bend,,['U'],['U'],,"Change the text of target permanent by replacing all instances of one color word with another or one basic land type with another. (For example, you may change ""nonblack creature"" to ""nongreen creature"" or ""forestwalk"" to ""islandwalk."" This effect lasts indefinitely.)","""The world, I've come to realize, is a blank canvas on which to paint.""
—Ixidor, reality sculptor",93★,,,
133,Peek,130903.0,['U'],['U'],,"Look at target player's hand.
Draw a card.",Sometimes you have to read between the minds.,94,,,
134,Persuasion,129900.0,['U'],['U'],,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
You control enchanted creature.",There's no telling what an accomplished mage might collect.,95,,,
136,Phantom Warrior,132064.0,['U'],['U'],,Phantom Warrior can't be blocked.,"""There are as many pillows of illusion as flakes in a snow-storm. We wake from one dream into another dream.""
—Ralph Waldo Emerson, ""Illusions""",96,2,2,
137,Plagiarize,129883.0,['U'],['U'],,"Until end of turn, if target player would draw a card, instead that player skips that draw and you draw a card.","""Are you thinking what I'm thinking?""",97,,,
138,Puppeteer,129685.0,['U'],['U'],,"{U}, {T}: You may tap or untap target creature.","""That's the funny thing about free will. You don't feel any different without it.""
—Ambassador Laquatus",98,1,2,
139,Reminisce,129698.0,['U'],['U'],,Target player shuffles their graveyard into their library.,Leave the door to the past even slightly ajar and it could be blown off its hinges.,99,,,
140,Remove Soul,129699.0,['U'],['U'],,Counter target creature spell.,"When your enemies are denied soldiers, they are denied victory.",100,,,
142,Robe of Mirrors,,['U'],['U'],,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature has shroud. (It can't be the target of spells or abilities.)","""Some say you cannot hit what you cannot see. I prefer that you hit what I want you to see.""
—Arcanis the Omnipotent",101★,,,
143,Rootwater Commando,129733.0,['U'],['U'],,Islandwalk (This creature can't be blocked as long as defending player controls an Island.),"Rootwater merfolk are seldom seen these days, but elf corpses are as numerous as ever.",102,2,2,
145,Rootwater Matriarch,135252.0,['U'],['U'],,{T}: Gain control of target creature for as long as that creature is enchanted.,"In the harsh depths of Rootwater, the charms of surface dwellers are quite useless . . . except as lures.",103,2,3,
150,Sea Monster,129719.0,['U'],['U'],,Sea Monster can't attack unless defending player controls an Island.,It's easy to believe the monster is a myth—until you feel three hundred thousand pounds of myth crashing down on your ship.,106,6,6,
152,Shimmering Wings,,['U'],['U'],,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature has flying. (It can't be blocked except by creatures with flying or reach.)
{U}: Return Shimmering Wings to its owner's hand.","""I leave words like 'impossible' to the rabble. Whatever I can imagine, I can create.""
—Ixidor, reality sculptor",107★,,,
153,Sift,136217.0,['U'],['U'],,"Draw three cards, then discard a card.",Dwell longest on the thoughts that shine brightest.,108,,,
154,Sky Weaver,130998.0,['U'],['U'],,{2}: Target white or black creature gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),"""Let my wisdom give you wings.""",109,2,1,
156,Snapping Drake,129471.0,['U'],['U'],,Flying (This creature can't be blocked except by creatures with flying or reach.),The irritable drakes are solitary nesters. Even brooding females barely contain the urge to attack their own young.,110,3,2,
158,Spiketail Hatchling,129901.0,['U'],['U'],,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Sacrifice Spiketail Hatchling: Counter target spell unless its controller pays {1}.",It dodges waves of water to prepare for waves of magic.,111,1,1,
160,Sunken Hope,129509.0,['U'],['U'],,"At the beginning of each player's upkeep, that player returns a creature they control to its owner's hand.","""I don't concern myself with my enemy's hopes. Hopes follow the tides. They will retreat soon enough.""
—Ambassador Laquatus",112,,,
161,Telepathy,129761.0,['U'],['U'],,Your opponents play with their hands revealed.,"""The question isn't whether I can read minds. It's whether I have yet to find a mind worth reading.""
—Ambassador Laquatus",113,,,
162,Telling Time,132071.0,['U'],['U'],,"Look at the top three cards of your library. Put one of those cards into your hand, one on top of your library, and one on the bottom of your library.","Mastery is achieved when ""telling time"" becomes ""telling time what to do.""",114,,,
163,Thieving Magpie,129764.0,['U'],['U'],,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Whenever Thieving Magpie deals damage to an opponent, draw a card.",Other birds collect twigs for their nests. Magpies collect jewels for theirs.,115,1,3,
165,Tidings,129770.0,['U'],['U'],,Draw four cards.,"""Though the letter was many pages long, I could tell all I needed to know from one look at the messenger's face.""
—Barrin, master wizard",116,,,
168,Time Stretch,129677.0,['U'],['U'],,Target player takes two extra turns after this one.,There's lots of time like the present.,118,,,
169,Traumatize,129774.0,['U'],['U'],,"Target player mills half their library, rounded down.","""The educated mind is heavy with lore and knowledge. It's also the most likely to collapse under its own weight.""
—Ambassador Laquatus",119,,,
170,Twincast,129887.0,['U'],['U'],,Copy target instant or sorcery spell. You may choose new targets for the copy.,Imitation is the most dangerous form of flattery.,120,,,
171,Twitch,136286.0,['U'],['U'],,"You may tap or untap target artifact, creature, or land.
Draw a card.",Battles are won in nuance.,121,,,
172,Unsummon,136218.0,['U'],['U'],,Return target creature to its owner's hand.,Tolarian apprentices learn to liberate Ætheric energy long before they are taught to bind it.,122,,,
173,Vedalken Mastermind,130834.0,['U'],['U'],,"{U}, {T}: Return target permanent you control to its owner's hand.","The vedalken see other beings from a cold distance, as either experimental subjects or objects of study.",123,1,2,
174,Wall of Air,135274.0,['U'],['U'],,"Defender, flying (This creature can't attack, and it can block creatures with flying.)","When no falcons fly, beware the sky.
—Femeref aphorism",124,1,5,
176,Afflict,135206.0,['B'],['B'],,"Target creature gets -1/-1 until end of turn.
Draw a card.","One rarely notices a heartbeat, save when it is stolen.",125,,,
177,Agonizing Memories,135228.0,['B'],['B'],,Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.,"In the aftermath of war, when the slaying is long done, the greatest miseries come home to roost.",126,,,
178,Ascendant Evincar,106525.0,['B'],['B'],['Legendary'],"Flying (This creature can't be blocked except by creatures with flying or reach.)
Other black creatures get +1/+1.
Nonblack creatures get -1/-1.","His soul snared by an angel's curse, Crovax twisted heroism into its purest shadow.",127,3,3,
180,Assassinate,135194.0,['B'],['B'],,Destroy target tapped creature.,"""This is how wars are won—not with armies of soldiers but with a single knife blade, artfully placed.""
—Yurin, royal assassin",128,,,
181,Beacon of Unrest,135270.0,['B'],['B'],,Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.,A vertical scream pierces the night air and echoes doom through the clouds.,129,,,
182,Bog Wraith,129491.0,['B'],['B'],,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),"Knowing Takenuma Swamp to be dangerous, Hisata set wards to warn him of predators. He never imagined that his murderer would pass through them unhindered.",130,3,3,
184,Consume Spirit,129505.0,['B'],['B'],,"Spend only black mana on X.
Consume Spirit deals X damage to any target and you gain X life.","""Your blood, your marrow, your spirit—all are mine.""
—Mayvar, minion of Geth",131,,,
186,Contaminated Bond,,['B'],['B'],,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Whenever enchanted creature attacks or blocks, its controller loses 3 life.","""My favorite curses are those that manifest slowly, blackening the soul in ways the victim cannot hope to understand.""
—Erissa, bog witch",132★,,,
187,Cruel Edict,129514.0,['B'],['B'],,Target opponent sacrifices a creature.,"""Choose your next words carefully. They will be your last.""
—Phage the Untouchable",133,,,
188,Deathmark,129910.0,['B'],['B'],,Destroy target green or white creature.,"""I hope it's true that every snowflake is unique, because I never want to see one like this again. Now clean up that body.""
—Thangbrand Gyrdsson, Kjeldoran patrol",134,,,
189,Diabolic Tutor,129525.0,['B'],['B'],,"Search your library for a card, put that card into your hand, then shuffle.",The best ideas often come from the worst minds.,135,,,
190,Distress,135219.0,['B'],['B'],,Target player reveals their hand. You choose a nonland card from it. That player discards that card.,"""They say the eyes are the windows to the soul. I like to break windows and take what's inside.""
—Braids, dementia summoner",136,,,
191,Doomed Necromancer,129880.0,['B'],['B'],,"{B}, {T}, Sacrifice Doomed Necromancer: Return target creature card from your graveyard to the battlefield.",Many necromancers share the same last words—the ones that conclude the undeath ritual.,137,2,2,
192,Dross Crocodile,135216.0,['B'],['B'],,,"""As soon as it surfaced, we could all smell it. Its rancid breath reeked of half-digested carrion and its own rotting innards.""
—Dafri, Auriok champion",138,5,1,
193,Drudge Skeletons,129529.0,['B'],['B'],,"{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)","""The dead make good soldiers. They can't disobey orders, never surrender, and don't stop fighting when a random body part falls off.""
—Nevinyrral, *Necromancer's Handbook*",139,1,1,
195,Dusk Imp,129490.0,['B'],['B'],,Flying,Imps are just intelligent enough to have an understanding of cruelty.,140,2,1,
197,Essence Drain,135191.0,['B'],['B'],,Essence Drain deals 3 damage to any target and you gain 3 life.,"""The elves are right: Death inevitably leads to life. But the truly powerful don't just experience this cycle. They control it.""
—Crovax, ascendant evincar",141,,,
199,Fear,,['B'],['B'],,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)","""Even the bravest of warriors yet knows the dark clutch of fright upon his stalwart heart.""
—Lim-Dûl the Necromancer",142★,,,
200,Festering Goblin,129546.0,['B'],['B'],,"When Festering Goblin dies, target creature gets -1/-1 until end of turn.","In life, it was a fetid, disease-ridden thing. In death, not much changed.",143,1,1,
201,Grave Pact,129583.0,['B'],['B'],,"Whenever a creature you control dies, each other player sacrifices a creature.","""The bonds of loyalty can tie one to the grave.""
—Crovax, ascendant evincar",144,,,
202,Graveborn Muse,135256.0,['B'],['B'],,"At the beginning of your upkeep, you draw X cards and you lose X life, where X is the number of Zombies you control.","""Her voice is damnation, unyielding and certain.""
—Phage the Untouchable",145,3,3,
203,Gravedigger,129584.0,['B'],['B'],,"When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.",A full coffin is like a full coffer—both are attractive to thieves.,146,2,2,
204,Hate Weaver,130995.0,['B'],['B'],,{2}: Target blue or red creature gets +1/+0 until end of turn.,"""Let my hate fuel your fury.""",147,2,1,
206,Hidden Horror,135234.0,['B'],['B'],,"When Hidden Horror enters the battlefield, sacrifice it unless you discard a creature card.","If the presence of evil were obvious, it wouldn't be nearly as dangerous.",149,4,4,
207,Highway Robber,129564.0,['B'],['B'],,"When Highway Robber enters the battlefield, target opponent loses 2 life and you gain 2 life.","""Tonight, madam, it's your money *and* your life.""",150,2,2,
208,Hypnotic Specter,129600.0,['B'],['B'],,"Flying
Whenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.",Its victims are known by their eyes: shattered vessels leaking broken dreams.,151,2,2,
210,Knight of Dusk,129574.0,['B'],['B'],,{B}{B}: Destroy target creature blocking Knight of Dusk.,"""Challenge me with your strongest. I will paint my sword with their blood.""",152,2,2,
211,Looming Shade,129628.0,['B'],['B'],,{B}: Looming Shade gets +1/+1 until end of turn.,"Its form never rests, propelled by some undetectable gale from beyond the gloom.",153,1,1,
214,Lord of the Undead,129629.0,['B'],['B'],,"Other Zombie creatures get +1/+1.
{1}{B}, {T}: Return target Zombie card from your graveyard to your hand.","""Do not weep at your defeat, my dear. In death, you will serve a greater purpose—mine.""",155,2,2,
